Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長,stock,ethnic_group
AZO,"AutoZone, Inc.",0,consumer-cyclical,auto-parts,19.896418,0.0,16.569954,-0.03234019,-0.13098402,0.1399,0.1193,0.2225,0.16540001,,
BA,Boeing Company (The),156271968256,industrials,aerospace-defense,71.12231,0.0,48.337807,-0.08388059,-0.10607291,-1.9043,4.8937,0.9804,-0.9986,,
BAC,Bank of America Corporation,392992489472,financial-services,banks-diversified,12.979216,0.019323671,10.625687,-0.092157304,0.017013278,0.2207,0.1344,0.116000004,0.17909999,,
BALL,Ball Corporation,15874260992,consumer-cyclical,packaging-containers,17.183382,0.013398091,13.259574,-0.04205255,0.0048037088,0.1273,0.1238,0.042,0.086899996,,
BAX,Baxter International Inc.,12242465792,healthcare,medical-instruments-supplies,0.0,0.008722198,11.628364,-0.053299874,0.14892894,-0.0983,-0.0052,-0.248,0.3925,,
BBY,"Best Buy Co., Inc.",19886381056,consumer-cyclical,specialty-retail,15.777038,0.04097833,13.145327,0.09378751,0.31289175,0.0625,0.0558,0.0645,-0.0072000003,,
BDX,"Becton, Dickinson and Company",49846788096,healthcare,medical-instruments-supplies,31.660898,0.023187604,13.767172,0.043525837,0.13469152,-0.1234,0.053000003,0.026600001,-0.0624,,
BEN,"Franklin Templeton, Inc.",16832587776,financial-services,asset-management,22.537415,0.038941734,10.417519,-0.016230864,0.13813402,0.3026,0.0998,0.1444,0.0635,,
BG,Bunge Limited,21133103104,consumer-defensive,farm-products,23.706898,0.025219785,9.767342,-0.048944786,-0.047164496,0.2701,0.1713,0.092700005,0.66440004,,
BIIB,Biogen Inc.,33297842176,healthcare,drug-manufacturers-general,40.02842,0.0,13.628571,0.068243206,0.16744816,-0.17940001,0.3188,-0.5782,0.6433,,
BKNG,Booking Holdings Inc. Common St,123391705088,consumer-cyclical,travel-services,18.246666,0.009541894,13.270647,-0.14814901,-0.1112739,0.1451,0.1846,0.1275,0.1832,,
BKR,Baker Hughes Company,56840515584,energy,oil-gas-equipment-services,18.411575,0.015908698,18.40613,-0.0552652,-0.029123768,0.0055,0.19,-0.0935,-0.1086,,
