Ticker,Date,Close,High,Low,Open,Interval
603986.SS,2026-06-02,474.69000244140625,480.6600036621094,448.1099853515625,471.0,1d
603986.SS,2026-06-03,492.2300109863281,510.0,477.0,478.8900146484375,1d
603986.SS,2026-06-04,529.3099975585938,538.0,485.010009765625,487.04998779296875,1d
603986.SS,2026-06-05,488.0,519.7999877929688,484.8999938964844,507.0,1d
603986.SS,2026-06-08,474.010009765625,490.70001220703125,451.0,461.1099853515625,1d
603986.SS,2026-06-09,500.5,502.8800048828125,477.0299987792969,493.0,1d
603986.SS,2026-06-10,480.8399963378906,497.260009765625,475.6499938964844,489.1099853515625,1d
603986.SS,2026-06-11,483.5,486.0,471.0,480.5199890136719,1d
603986.SS,2026-06-12,481.4700012207031,510.0,481.0,508.0,1d
603986.SS,2026-06-15,518.0,519.0,476.6600036621094,494.9700012207031,1d
603986.SS,2026-06-16,532.760009765625,542.8400268554688,517.7100219726562,526.0,1d
603986.SS,2026-06-17,586.0399780273438,586.0399780273438,521.0,521.0,1d
603986.SS,2026-06-18,629.0,644.6400146484375,586.5999755859375,594.0,1d
603986.SS,2026-06-22,689.7000122070312,689.7000122070312,635.0,643.0,1d
603986.SS,2026-06-23,640.989990234375,688.7999877929688,636.0,680.0,1d
603986.SS,2026-06-24,705.0900268554688,705.0900268554688,630.9299926757812,641.0,1d
603986.SS,2026-06-25,775.2100219726562,775.3900146484375,735.0,740.0,1d
603986.SS,2026-06-26,770.0,779.0,732.52001953125,753.0,1d
603986.SS,2026-06-29,840.0,846.6599731445312,750.0,779.0,1d
603986.SS,2026-06-30,815.0,833.0,781.1099853515625,810.0,1d
603986.SS,2026-07-01,772.010009765625,843.3800048828125,753.0,803.0,1d
603986.SS,2026-07-02,694.8099975585938,731.989990234375,694.8099975585938,721.0,1d
603986.SS,2026-07-03,677.77001953125,717.6599731445312,642.3499755859375,672.5399780273438,1d
603986.SS,2026-07-06,654.2899780273438,694.989990234375,630.0,690.0,1d
603986.SS,2026-07-07,620.0,646.2000122070312,607.0,625.0,1d
603986.SS,2026-07-08,603.1699829101562,641.0,589.0,630.0,1d
603986.SS,2026-07-09,663.489990234375,663.489990234375,630.0,633.0,1d
603986.SS,2026-07-10,612.0,707.969970703125,607.1799926757812,688.0,1d
603986.SS,2026-07-13,550.7999877929688,600.0,550.7999877929688,580.0,1d
603986.SS,2026-07-14,583.989990234375,587.2000122070312,534.5800170898438,551.0,1d
603986.SS,2026-07-15,571.7899780273438,608.0700073242188,565.2899780273438,600.0,1d
603986.SS,2026-07-16,514.6099853515625,548.0,514.6099853515625,543.260009765625,1d
603986.SS,2026-07-17,463.1499938964844,509.8800048828125,463.1499938964844,500.0,1d
603986.SS,2026-07-20,432.29998779296875,485.8699951171875,416.8800048828125,479.0,1d
603986.SS,2026-07-21,475.5299987792969,475.5299987792969,401.0,446.0,1d
603986.SS,2026-07-22,470.0,501.260009765625,460.0,479.94000244140625,1d
603986.SS,2026-07-23,451.9599914550781,483.1600036621094,444.2200012207031,480.0,1d
603986.SS,2026-07-24,457.0,462.5,438.5,444.0,1d
603986.SS,2026-07-27,434.0299987792969,446.1000061035156,411.29998779296875,446.0,1d
603986.SS,2026-07-28,390.6300048828125,408.25,390.6300048828125,400.2200012207031,1d
603986.SS,2026-07-29,364.0299987792969,378.0,351.57000732421875,373.1499938964844,1d
603986.SS,2026-07-30,371.1000061035156,392.07000732421875,342.0,356.75,1d
603986.SS,2026-07-31,378.6000061035156,408.2099914550781,378.0,408.2099914550781,1d
603986.SS,2026-08-03,340.739990234375,370.0,340.739990234375,365.54998779296875,1d
603986.SS,2026-08-04,356.0199890136719,360.760009765625,337.1000061035156,341.989990234375,1d
603986.SS,2026-08-05,385.44000244140625,390.1199951171875,358.0,358.0,1d
603986.SS,2026-08-06,385.0,394.94000244140625,363.0,363.0,1d
603986.SS,2026-08-07,417.04998779296875,422.4800109863281,383.79998779296875,384.0,1d
603986.SS,2026-08-10,403.0299987792969,422.29998779296875,391.1400146484375,415.42999267578125,1d
603986.SS,2026-08-11,402.2900085449219,414.7799987792969,396.5799865722656,397.0,1d
603986.SS,2026-08-12,413.1700134277344,419.95001220703125,401.67999267578125,408.0199890136719,1d
603986.SS,2026-08-13,404.5,431.9100036621094,402.79998779296875,425.260009765625,1d
603986.SS,2026-08-14,417.4800109863281,421.17999267578125,406.54998779296875,419.0,1d
603986.SS,2026-08-17,444.0,444.0,420.2300109863281,423.95001220703125,1d
603986.SS,2026-08-18,436.739990234375,455.80999755859375,429.05999755859375,449.9700012207031,1d
603986.SS,2026-08-19,403.7099914550781,420.0,393.1000061035156,417.0,1d
603986.SS,2026-08-20,403.5,410.5899963378906,397.8299865722656,410.0,1d
603986.SS,2026-08-21,409.05999755859375,411.0,400.1000061035156,405.0,1d
603986.SS,2026-08-24,381.6600036621094,405.510009765625,377.9800109863281,404.9700012207031,1d
603986.SS,2026-08-25,395.510009765625,398.5,367.0,367.0,1d
603986.SS,2026-08-26,392.5,399.0,384.8800048828125,399.0,1d
603986.SS,2026-08-27,411.20001220703125,412.0,394.5799865722656,397.010009765625,1d
603986.SS,2026-08-28,396.82000732421875,410.5299987792969,396.5,406.95001220703125,1d
603986.SS,2026-08-31,406.0,406.6099853515625,387.05999755859375,387.05999755859375,1d
603986.SS,2026-09-01,393.0,406.010009765625,391.5400085449219,406.0,1d
603986.SS,2026-09-02,388.8599853515625,395.95001220703125,387.45001220703125,388.0,1d
603986.SS,2026-09-03,383.20001220703125,393.8900146484375,380.19000244140625,393.1099853515625,1d
603986.SS,2026-09-04,371.8800048828125,388.9700012207031,368.7699890136719,387.5799865722656,1d
603986.SS,2026-09-07,385.44000244140625,386.260009765625,380.29998779296875,382.80999755859375,1d
603986.SS,2026-09-08,385.9599914550781,398.0,381.9599914550781,385.82000732421875,1d
603986.SS,2026-09-09,381.8699951171875,392.8699951171875,380.0,390.0,1d
603986.SS,2026-09-10,380.6400146484375,387.5,379.010009765625,380.8299865722656,1d
603986.SS,2026-09-11,371.32000732421875,373.989990234375,363.0,371.79998779296875,1d
603986.SS,2026-09-14,356.8800048828125,365.8800048828125,355.54998779296875,360.0,1d
603986.SS,2026-09-15,363.1099853515625,371.6600036621094,356.0,356.8699951171875,1d
603986.SS,2026-09-16,373.1400146484375,374.3800048828125,360.9599914550781,366.1099853515625,1d
603986.SS,2026-09-17,369.8800048828125,377.2300109863281,365.3399963378906,370.05999755859375,1d
603986.SS,2026-09-18,388.17999267578125,390.6600036621094,378.0,379.989990234375,1d
603986.SS,2026-09-21,391.7099914550781,403.2300109863281,388.1300048828125,396.0,1d
603986.SS,2026-09-22,402.1000061035156,413.42999267578125,394.0,399.989990234375,1d
SNDK,2025-02-13,36.0,44.0,34.9900016784668,35.060001373291016,1d
SNDK,2025-02-14,36.650001525878906,38.25,35.505001068115234,37.0,1d
SNDK,2025-02-18,47.150001525878906,47.150001525878906,39.0,40.529998779296875,1d
SNDK,2025-02-19,46.0,48.5,45.5,46.5099983215332,1d
SNDK,2025-02-20,48.2599983215332,49.4900016784668,46.709999084472656,48.97999954223633,1d
SNDK,2025-02-21,50.369998931884766,50.689998626708984,48.0,48.9900016784668,1d
SNDK,2025-02-24,48.599998474121094,53.0,46.209999084472656,52.0,1d
SNDK,2025-02-25,48.15999984741211,55.0099983215332,47.810001373291016,48.29999923706055,1d
SNDK,2025-02-26,46.58000183105469,49.90999984741211,45.29999923706055,46.150001525878906,1d
SNDK,2025-02-27,45.15999984741211,47.869998931884766,41.58000183105469,46.040000915527344,1d
SNDK,2025-02-28,46.849998474121094,48.70000076293945,43.75,45.22999954223633,1d
SNDK,2025-03-03,50.310001373291016,50.880001068115234,47.60499954223633,48.4900016784668,1d
SNDK,2025-03-04,48.689998626708984,50.099998474121094,45.09700012207031,46.689998626708984,1d
SNDK,2025-03-05,48.470001220703125,49.39799880981445,46.5,47.599998474121094,1d
SNDK,2025-03-06,46.5,49.060001373291016,45.2400016784668,47.40999984741211,1d
SNDK,2025-03-07,51.0,51.130001068115234,47.15999984741211,49.20000076293945,1d
SNDK,2025-03-10,53.0,53.66999816894531,49.54999923706055,50.4900016784668,1d
SNDK,2025-03-11,52.15999984741211,53.189998626708984,49.81999969482422,51.84000015258789,1d
SNDK,2025-03-12,50.439998626708984,53.099998474121094,50.380001068115234,53.0,1d
SNDK,2025-03-13,48.439998626708984,50.869998931884766,47.86000061035156,50.0,1d
SNDK,2025-03-14,54.81999969482422,54.939998626708984,49.43000030517578,49.43000030517578,1d
SNDK,2025-03-17,55.650001525878906,58.36000061035156,54.744998931884766,54.79999923706055,1d
SNDK,2025-03-18,56.41999816894531,57.88999938964844,54.56999969482422,55.13999938964844,1d
SNDK,2025-03-19,56.33000183105469,57.60499954223633,55.66999816894531,56.29999923706055,1d
SNDK,2025-03-20,56.209999084472656,57.16999816894531,54.91999816894531,56.5099983215332,1d
SNDK,2025-03-21,53.959999084472656,55.45000076293945,51.915000915527344,55.099998474121094,1d
SNDK,2025-03-24,52.9900016784668,55.685001373291016,51.84000015258789,54.61000061035156,1d
SNDK,2025-03-25,52.20000076293945,53.18000030517578,51.7599983215332,52.130001068115234,1d
SNDK,2025-03-26,52.619998931884766,53.70000076293945,51.97999954223633,53.529998779296875,1d
SNDK,2025-03-27,52.880001068115234,54.2400016784668,51.709999084472656,51.95000076293945,1d
SNDK,2025-03-28,48.970001220703125,52.88999938964844,48.45500183105469,52.209999084472656,1d
SNDK,2025-03-31,47.61000061035156,48.39500045776367,47.02000045776367,47.40999984741211,1d
SNDK,2025-04-01,48.11000061035156,49.36000061035156,46.58000183105469,47.54999923706055,1d
SNDK,2025-04-02,47.66999816894531,48.709999084472656,46.5099983215332,46.91999816894531,1d
SNDK,2025-04-03,38.2599983215332,44.79999923706055,37.54999923706055,44.79999923706055,1d
SNDK,2025-04-04,30.110000610351562,35.869998931884766,28.360000610351562,35.720001220703125,1d
SNDK,2025-04-07,31.479999542236328,32.97999954223633,27.885000228881836,29.219999313354492,1d
SNDK,2025-04-08,32.349998474121094,35.84000015258789,31.655000686645508,33.0,1d
SNDK,2025-04-09,36.58000183105469,39.650001525878906,31.260000228881836,31.920000076293945,1d
SNDK,2025-04-10,31.075000762939453,35.029998779296875,30.510000228881836,34.599998474121094,1d
SNDK,2025-04-11,31.969999313354492,32.04999923706055,28.270000457763672,30.559999465942383,1d
SNDK,2025-04-14,33.54999923706055,36.16999816894531,32.47999954223633,33.75,1d
SNDK,2025-04-15,33.22999954223633,34.560001373291016,32.88999938964844,33.29999923706055,1d
SNDK,2025-04-16,32.029998779296875,33.119998931884766,30.75,32.29999923706055,1d
SNDK,2025-04-17,31.290000915527344,32.65999984741211,30.389999389648438,31.75,1d
SNDK,2025-04-21,29.809999465942383,31.06999969482422,28.940000534057617,31.06999969482422,1d
SNDK,2025-04-22,29.6200008392334,31.1200008392334,29.315000534057617,30.260000228881836,1d
SNDK,2025-04-23,30.360000610351562,32.77799987792969,30.200000762939453,31.985000610351562,1d
SNDK,2025-04-24,32.290000915527344,32.97999954223633,30.309999465942383,30.809999465942383,1d
SNDK,2025-04-25,32.849998474121094,33.369998931884766,31.600000381469727,32.2599983215332,1d
SNDK,2025-04-28,32.27000045776367,33.0,31.65999984741211,32.630001068115234,1d
SNDK,2025-04-29,32.939998626708984,33.040000915527344,31.389999389648438,31.389999389648438,1d
SNDK,2025-04-30,32.11000061035156,32.470001220703125,31.010000228881836,31.84000015258789,1d
SNDK,2025-05-01,32.59000015258789,34.189998626708984,32.47999954223633,32.47999954223633,1d
SNDK,2025-05-02,34.400001525878906,35.40999984741211,33.04999923706055,33.11000061035156,1d
SNDK,2025-05-05,34.61000061035156,35.22999954223633,33.525001525878906,33.83000183105469,1d
SNDK,2025-05-06,33.83000183105469,34.43000030517578,33.459999084472656,34.02000045776367,1d
SNDK,2025-05-07,34.970001220703125,35.560001373291016,33.37799835205078,34.0,1d
SNDK,2025-05-08,36.65999984741211,37.7599983215332,33.130001068115234,34.970001220703125,1d
SNDK,2025-05-09,37.7400016784668,38.790000915527344,37.279998779296875,37.959999084472656,1d
SNDK,2025-05-12,41.27000045776367,42.2400016784668,40.0,41.13999938964844,1d
SNDK,2025-05-13,42.0,43.79999923706055,41.29999923706055,41.849998474121094,1d
SNDK,2025-05-14,41.93000030517578,43.43000030517578,41.0099983215332,42.0,1d
SNDK,2025-05-15,40.540000915527344,41.862998962402344,39.75,41.16999816894531,1d
SNDK,2025-05-16,40.439998626708984,41.0,39.92499923706055,40.52000045776367,1d
SNDK,2025-05-19,38.779998779296875,39.5,38.529998779296875,39.33000183105469,1d
SNDK,2025-05-20,40.18000030517578,41.111000061035156,38.45000076293945,38.779998779296875,1d
SNDK,2025-05-21,38.599998474121094,40.47999954223633,38.349998474121094,40.040000915527344,1d
SNDK,2025-05-22,37.84000015258789,39.284000396728516,37.77000045776367,38.400001525878906,1d
