Date,pct_above_20dma,pct_above_50dma,pct_above_150dma,pct_above_200dma,n_valid_200,advances,declines,unchanged,net_advances,ad_line,ad_ratio,mcclellan_osc,mcclellan_sum,breadth_thrust,new_highs,new_lows,net_hl,net_hl_10d,pct_from_52w_high_median,cap_weighted,equal_weighted,ew_minus_cw,ew_cw_ratio
2024-12-06,51.61943319838057,61.94331983805668,,,0,210,281,3,-71,2215,0.7473309608540926,-30.493705096014427,-148.9937956656044,0.4763830874887942,0,0,0,0.0,,113.89164072362334,110.91882892238887,-2.972811801234471,0.9738978929239549
2024-12-09,42.71255060728745,60.931174089068826,,,0,209,284,1,-75,2140,0.7359154929577465,-37.16925414192218,-186.1630498075266,0.4668470881777208,0,0,0,0.0,,113.12553387151432,110.32228021647794,-2.803253655036386,0.9752199741375783
2024-12-10,35.62753036437247,56.88259109311741,,,0,149,344,1,-195,1945,0.4331395348837209,-54.83675129331796,-240.99980110084454,0.4369169334767743,0,0,0,0.0,,113.05852730449219,109.5496461681988,-3.5088811362933825,0.9689640293399261
2024-12-11,40.08097165991903,54.45344129554656,,,0,245,247,2,-2,1943,0.9919028340080972,-50.13386464582916,-291.1336657466737,0.44801703278550564,0,0,0,0.0,,114.38314590004273,109.71109976843805,-4.672046131604688,0.9591544182943919
2024-12-12,36.63967611336032,53.441295546558706,,,0,176,315,3,-139,1804,0.5587301587301587,-59.72862400013071,-350.86228974680444,0.43173250655048123,0,0,0,0.0,,113.69318132279813,109.37238955174395,-4.320791771054175,0.9619960342319337
2024-12-13,31.57894736842105,51.012145748987855,,,0,161,328,5,-167,1637,0.49085365853658536,-70.46750822522387,-421.3297979720283,0.41309811513825395,0,0,0,0.0,,113.6809431776273,108.98196376942346,-4.69897940820384,0.9586651968495578
2024-12-16,27.732793522267208,47.97570850202429,,,0,191,303,0,-112,1525,0.6303630363036303,-73.73011507711921,-495.0599130491475,0.40828748986100055,0,0,0,0.0,,114.44896885313631,108.64128177289467,-5.807687080241635,0.9492552258142736
2024-12-17,22.469635627530366,41.902834008097166,,,0,116,375,3,-259,1266,0.30933333333333335,-91.02953587022559,-586.0894489193731,0.37700840912715444,0,0,0,0.0,,114.00732289747329,107.85893488897737,-6.148388008495914,0.9460702360845263
2024-12-18,8.299595141700404,21.86234817813765,,,0,17,477,0,-460,806,0.03563941299790356,-125.70952252363628,-711.7989714430093,0.31471832664323307,0,0,0,0.0,,110.43424262035523,104.63831397248194,-5.795928647873296,0.947516924910707
2024-12-19,7.894736842105263,23.481781376518217,,,0,198,293,3,-95,711,0.6757679180887372,-117.78904366162755,-829.588015104637,0.3308165683089144,0,0,0,0.0,,110.33353560746085,104.26386251575815,-6.069673091702697,0.9449879580284903
2024-12-20,11.538461538461538,28.54251012145749,,,0,441,52,1,389,1100,8.48076923076923,-61.4402347652898,-891.0282498699268,0.43330870617493145,0,0,0,0.0,,111.51197553193754,105.7027402418135,-5.809235290124036,0.9479048302891895
2024-12-23,12.145748987854251,28.54251012145749,,,0,269,223,2,46,1146,1.2062780269058295,-47.671401175377994,-938.6996510453048,0.4539340264121575,0,0,0,0.0,,112.37688417444171,105.88459826492264,-6.492285909519069,0.9422275679094185
2024-12-24,19.02834008097166,34.21052631578947,,,0,456,37,1,419,1565,12.324324324324325,2.0923449871204625,-936.6073060581843,0.5395731652573746,0,0,0,0.0,,113.69524539233831,106.74698705058121,-6.9482583417570964,0.9388869928748549
2024-12-26,20.850202429149796,34.008097165991906,,,0,276,216,2,60,1625,1.2777777777777777,8.293853842457072,-928.3134522157272,0.5434645188025969,0,0,0,0.0,,113.61401259102097,106.84664285013721,-6.767369740883751,0.9404354305727727
2024-12-27,14.574898785425102,28.94736842105263,,,0,48,445,1,-397,1228,0.10786516853932585,-32.70038608418734,-961.0138382999146,0.46235516686836114,0,0,0,0.0,,112.25903459886833,106.02754862158072,-6.231485977287605,0.944490116100193
2024-12-30,10.526315789473685,21.45748987854251,,,0,34,459,1,-425,803,0.07407407407407407,-70.42096738821338,-1031.4348056881279,0.3908297760270917,0,0,0,0.0,,111.0452901349376,105.00086859759182,-6.044421537345784,0.945567961234548
2024-12-31,10.526315789473685,21.65991902834008,,,0,278,210,6,68,871,1.3238095238095238,-52.42117414111337,-1083.8559798292413,0.42334656786717334,0,0,0,0.0,,110.46281022457671,105.08388977075766,-5.378920453819049,0.9513055983015151
2025-01-02,12.348178137651821,20.242914979757085,,,0,188,305,1,-117,754,0.6163934426229508,-55.49394140041261,-1139.3499212296538,0.4157087814174162,0,0,0,0.0,,110.25372335917451,104.90524838461815,-5.348474974556368,0.9514893936313371
2025-01-03,24.493927125506072,26.518218623481783,,,0,394,100,0,294,1048,3.94,-16.244497416710566,-1155.5944186463644,0.4851382484692367,0,0,0,0.0,,111.75462426961326,105.966667395009,-5.787956874604262,0.9482083456283603
2025-01-06,29.352226720647774,26.11336032388664,,,0,232,260,2,-28,1020,0.8923076923076924,-15.196093440970678,-1170.790512087335,0.48266669701067627,0,0,0,0.0,,112.55073510002849,105.99746094093732,-6.553274159091174,0.9417749324047772
2025-01-07,29.352226720647774,26.11336032388664,,,0,199,293,2,-94,926,0.6791808873720137,-20.90388951782807,-1191.694401605163,0.4684493965933619,0,0,0,0.0,,111.20258508450715,105.555448945254,-5.647136139253149,0.9492175821725577
2025-01-08,36.23481781376518,26.923076923076923,,,0,291,199,4,92,1018,1.4623115577889447,-6.8536247847778995,-1198.5480263899408,0.4912545155800976,0,0,0,0.0,,111.34666194471444,105.75098474929075,-5.59567719542369,0.9497454427668246
2025-01-10,20.850202429149796,18.218623481781375,,,0,62,430,2,-368,650,0.14418604651162792,-41.36508476753741,-1239.9131111574782,0.42484756004964375,0,0,0,0.0,,109.7035916986585,104.07515765976325,-5.62843403889525,0.9486941680600958
2025-01-13,29.352226720647774,20.445344129554655,,,0,357,135,2,222,872,2.6444444444444444,-10.948958438675703,-1250.8620695961538,0.4795315956947196,0,0,0,0.0,,109.78517385522076,104.8498185259855,-4.935355329235264,0.9550453384922105
2025-01-14,44.33198380566802,26.31578947368421,,,0,377,114,3,263,1135,3.307017543859649,19.261371935544638,-1231.600697660609,0.531947809919453,0,0,0,0.0,,109.81790960559685,105.68204533215967,-4.135864273437178,0.9623388909123217
