Industry,n,market_cap,cw_1W,ew_1W,med_1W,cw_1M,ew_1M,med_1M,cw_3M,ew_3M,med_3M,pct_positive_3M,cw_6M,ew_6M,med_6M,cw_12M,ew_12M,med_12M,pct_above_50dma,pct_above_200dma,pct_within_5pct_of_52wh,median_pct_from_52wh,median_pe,median_fwd_pe,median_div_yield,median_cy_growth,median_ny_growth,median_cq_growth,median_nq_growth,fwd_pe_over_ny_growth,Sector,rs_3m
insurance-property-casualty,8,468964611072.0,-4.956108408708593,-4.896682748906176,-4.224394871628206,-3.425286679228867,-3.2430620841710613,-2.51545400717938,0.7986790343978756,0.3960388333988374,-0.7384953609017086,37.5,7.0535756035471575,9.291199074575397,4.893696942072956,10.443796364344472,13.260146590937419,11.664322113760894,0.0,50.0,0.0,-10.96954587356485,11.138713,12.336876499999999,1.19562925,9.0,-0.33999999999999997,-15.684999500000002,-8.0,-36.28493088235294,financial-services,-4.566629122103261
household-personal-products,7,550484760576.0,1.0740153249556794,1.1558808623585255,0.8543630050252826,-0.6070533038315507,-5.413696811135722,-4.424680169387951,-0.4699908244875317,0.7916370958718888,-1.016527941143952,14.285714285714285,4.9077655602737025,4.140340725508751,3.4564245650998027,-0.7026709446099733,-0.9979876812825623,3.286822673370393,28.571428571428573,57.142857142857146,0.0,-11.142675909741017,22.389729,20.030272,2.9155256,5.0200000000000005,6.02,5.19,0.05,3.3272877076411964,consumer-defensive,-5.835298980988668
banks-diversified,5,1872322363392.0,-4.369250885295517,-4.414141574658322,-3.543360259980788,-3.7693293613617507,-3.4355795325872274,-3.293699020005336,-0.49110582529884317,-1.3279497502370496,-0.5974294381501877,40.0,17.75812919717177,19.04957754438783,19.48701299438611,12.08973388501513,18.54361992774486,10.078294949939659,0.0,80.0,0.0,-8.899538033763733,14.274785,10.625687,1.7771196,22.559999,10.79,15.75,17.909999,0.9847717330861909,financial-services,-5.85641398179998
insurance-diversified,3,106580164608.0,-2.602092069656592,-2.639226991836563,-2.153755098481991,-3.249791731010454,-3.3493827310115964,-4.467252710204428,-0.5304289513563321,-0.4466062108239706,-1.1132742528045858,33.33333333333333,-0.4475268176895031,-0.41579493351694047,1.377315007147173,2.1907128858149383,2.514569459878313,0.06748009717947312,0.0,0.0,0.0,-11.247469514507625,8.890193,9.411443,1.7746499999999998,-4.75,7.21,-19.06,-17.41,1.3053319001386963,financial-services,-5.895737107857468
auto-manufacturers,3,1624197476352.0,5.510179847023999,0.3491555770527103,-2.2490403380205026,3.454818384755165,-3.189722043217306,-4.898700816319712,-0.5800752968639245,-0.06896982706989427,-0.710146893190311,33.33333333333333,0.3709199028416821,8.061427767446357,10.675960730828415,-8.75006564308347,16.543734120511623,17.99283574068964,33.333333333333336,33.333333333333336,0.0,-22.65452965627295,37.254463,6.7038536,0.7861823,27.05,11.399999,-7.8600004000000006,13.850000000000001,0.5880573849173145,consumer-cyclical,-5.945383453365061
telecom-services,5,633996062720.0,-8.836794549179295,-10.186584863932383,-9.718172839370698,-7.951389402953357,-11.198181082126908,-10.758654007634693,-0.7716350565292518,-2.04304255653065,-0.32686106534982606,40.0,-15.015085196652878,-20.754791496219134,-20.752413168899064,-14.723085015867044,-20.316238561915302,-20.604549082607015,20.0,40.0,0.0,-29.218825053657017,8.283829,8.803,4.361493,10.31,5.0300002,11.76,5.9699997,1.7500993339920743,communication-services,-6.1369432130303885
oil-gas-midstream,4,273747812352.0,-1.2115937255669285,-1.3515543421967369,-1.0715402062054458,-1.3728251198090846,-1.694022876760759,-1.2677338027252072,-0.8296120438127885,0.08579369716663343,0.2601968280831035,50.0,1.8725870177790371,3.424104605250064,0.2282296242138826,32.02160492044668,37.08364303338511,27.213353910606074,25.0,100.0,0.0,-7.808995892811888,23.587097,21.7963055,3.29059035,17.95,5.4,9.695,4.80000025,4.0363528703703695,energy,-6.194920200313925
auto-parts,4,96552782848.0,0.5380427271878707,0.7155814263188648,0.990247699238811,-3.8664360121318797,-3.984996201696589,-3.100603516161943,-1.611103147158166,-2.912945511187659,-3.4726758326814378,25.0,-3.6092795911379816,-5.858737713075973,-8.460269011955868,-19.57394662947539,-24.353046833762903,-23.755126898865793,0.0,25.0,0.0,-26.462274120420638,23.714982,16.087101,0.0,7.715000099999999,11.604999750000001,5.94999975,12.125,1.386221572301197,consumer-cyclical,-6.976411303659303
scientific-technical-instruments,6,233942511616.0,6.942228815094786,4.947672947279737,2.2104012437475618,2.238028134888559,0.32973985014356966,-2.3277497073342532,-1.7791046417257261,2.361829654127956,-0.7597939614615468,33.33333333333333,13.570395100729037,8.388825729316434,10.715045292203673,49.54359633862453,49.67958761568005,19.31861722002114,66.66666666666667,50.0,0.0,-11.97935199445655,29.637908000000003,22.566740000000003,0.0,17.765,10.530000000000001,15.0950005,9.555,2.1430902184235516,technology,-7.144412798226862
specialty-industrial-machinery,17,1054154382848.0,5.1818723803880085,3.4406982107267794,2.4436456694019837,-1.9330361970661736,-4.035982039464011,-3.711761154868798,-2.9561027514884652,-4.172831517960179,-1.9380126473683812,47.05882352941176,7.79445212908092,2.7358054143106356,4.216465187434193,21.07273841942059,11.380158369450676,18.340432005402096,29.41176470588235,52.94117647058823,17.647058823529413,-19.115465575030598,30.516527,21.27689,1.2826849,11.03,10.4899995,10.3599995,10.41,2.028302289242245,industrials,-8.321410907989602
